team1,team2,Nick,Clyde,Chet,Henry,Riley,Bobby
NE,SEA,NE,SEA,SEA,NE,SEA,SEA
SF,LAR,SF,LAR,LAR,LAR,LAR,LAR
TB,CIN,CIN,CIN,CIN,CIN,TB,CIN
NO,DET,DET,NO,DET,DET,DET,DET
NYJ,TEN,NYJ,NYJ,TEN,TEN,TEN,NYJ
BAL,IND,BAL,BAL,BAL,IND,BAL,BAL
ATL,PIT,PIT,ATL,PIT,PIT,PIT,PIT
CHI,CAR,CHI,CHI,CHI,CHI,CHI,CHI
CLE,JAX,JAX,JAX,JAX,JAX,JAX,JAX
BUF,HOU,HOU,BUF,BUF,BUF,HOU,HOU
MIA,LV,LV,MIA,MIA,LV,LV,LV
GB,MIN,MIN,MIN,MIN,MIN,MIN,MIN
WSH,PHI,PHI,PHI,PHI,PHI,PHI,PHI
ARI,LAC,LAC,LAC,LAC,LAC,LAC,LAC
DAL,NYG,DAL,DAL,NYG,DAL,DAL,DAL
DEN,KC,DEN,DEN,DEN,DEN,DEN,KC
TIEBREAKER,,43,47,50,42,49,40
